Date,Temp,Cond,pH
2020-Jun-12 15:59,19.00,110.50,7.01
2020-Jun-12 16:59,19.15,111.10,7.01
2020-Jun-12 17:59,19.25,111.50,7.00
2020-Jun-12 18:59,19.24,111.70,7.00
2020-Jun-12 19:59,19.15,112.10,7.00
2020-Jun-12 20:59,19.01,112.10,7.00
2020-Jun-12 21:59,18.84,111.70,7.00
2020-Jun-12 22:59,18.67,112.30,7.00
2020-Jun-12 23:59,18.50,111.30,7.00
2020-Jun-13 00:59,18.35,111.00,7.00
2020-Jun-13 01:59,18.24,110.50,7.00
2020-Jun-13 02:59,18.15,110.40,7.00
2020-Jun-13 03:59,18.30,109.90,7.00
2020-Jun-13 04:59,18.53,110.60,7.00
2020-Jun-13 05:59,18.72,111.00,7.00
2020-Jun-13 06:59,18.90,111.50,7.00
2020-Jun-13 07:59,19.07,111.40,7.00
2020-Jun-13 08:59,19.23,112.80,7.00
2020-Jun-13 09:59,19.35,112.60,7.00
2020-Jun-13 10:59,19.48,112.10,7.00
2020-Jun-13 11:59,19.61,113.60,7.00
2020-Jun-13 12:59,19.74,114.80,7.00
2020-Jun-13 13:59,19.86,114.40,7.00
2020-Jun-13 14:59,19.96,114.90,7.00
2020-Jun-13 15:59,20.05,117.70,7.00
2020-Jun-13 16:59,20.13,115.50,7.00
2020-Jun-13 17:59,20.19,122.20,7.00
2020-Jun-13 18:59,20.15,121.50,7.00
2020-Jun-13 19:59,20.08,117.30,7.00
2020-Jun-13 20:59,20.00,117.70,7.00
2020-Jun-13 21:59,19.91,116.30,7.00
2020-Jun-13 22:59,19.82,121.40,7.00
2020-Jun-13 23:59,19.73,122.70,7.00
2020-Jun-14 00:59,19.63,121.50,7.00
2020-Jun-14 01:59,19.54,121.80,7.00
2020-Jun-14 02:59,19.44,121.30,7.00
2020-Jun-14 03:59,19.52,120.90,7.00
2020-Jun-14 04:59,19.63,121.10,7.00
2020-Jun-14 05:59,19.73,121.40,7.00
2020-Jun-14 06:59,19.81,122.40,7.00
2020-Jun-14 07:59,19.88,122.70,7.00
2020-Jun-14 08:59,19.97,116.50,7.00
2020-Jun-14 09:59,20.14,116.90,7.01
2020-Jun-14 10:59,20.30,116.30,7.00
2020-Jun-14 11:59,20.40,118.10,7.00
2020-Jun-14 12:59,20.46,117.70,7.00
2020-Jun-14 13:59,20.49,118.00,7.00
2020-Jun-14 14:59,20.51,117.60,7.00
2020-Jun-14 15:59,20.51,118.20,7.00
2020-Jun-14 16:59,20.51,119.00,7.00
2020-Jun-14 17:59,20.52,120.10,7.00
2020-Jun-14 18:59,20.45,119.20,7.00
2020-Jun-14 19:59,20.33,119.60,7.00
2020-Jun-14 20:59,20.20,120.00,7.00
2020-Jun-14 21:59,20.06,118.00,7.00
